Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness,Temperature,Good Taste,Good Quantity,Output,Reviews,churn_risk,risk_score,risk_segment,customer_id,customer_name,reason_code,crm_action,crm_channel,crm_kpi
20,Male,Single,Student,No Income,Graduate,2,12.9579,77.6309,560007,Food delivery apps,Direct call,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Important,Important,Important,Important,Yes,Swiggy and zomato are the best food delivery apps,0,0.1471675668839845,Low Risk,CUST-0137,Bagas Santoso,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
21,Male,Single,Student,No Income,Graduate,2,12.9579,77.6309,560007,Food delivery apps,Web browser,Breakfast,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Very Important,Moderately Important,Slightly Important,Moderately Important,Important,Yes,I have no issues with the delivery,0,0.1462832241457799,Low Risk,CUST-0138,Yoga Santoso,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Female,Married,Self Employeed,10001 to 25000,Graduate,5,12.9579,77.6309,560007,Food delivery apps,Web browser,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Agree,Agree,Yes,Important,Important,Very Important,Important,Important,Moderately Important,Moderately Important,Important,Yes,Food delivery apps are performing well in Bangalore. But poor delivery when it comes to rural places,0,0.4765265448149234,Medium Risk,CUST-0139,Fitri Kurniawan,Time Risk,Promo makan siang cepat dan reminder jam makan,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
25,Male,Single,Employee,25001 to 50000,Post Graduate,3,12.985,77.5533,560010,Food delivery apps,Web browser,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Neutral,Neutral,Yes,Important,Important,Very Important,Important,Important,Important,Very Important,Slightly Important,Yes,I love being a part of zomato premium member. I get amazing offers,0,0.2068162377684687,Low Risk,CUST-0140,Doni Kurniawan,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
32,Female,Married,House wife,No Income,Graduate,3,12.985,77.5533,560010,Direct call,Web browser,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Yes,Anytime (Mon-Sun),60 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Very Important,Moderately Important,Slightly Important,Important,Important,Yes,"Whenever I'm not well, use dunzo to order for my whole family",0,0.224273474871239,Low Risk,CUST-0141,Citra Kurniawan,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
27,Male,Married,Employee,More than 50000,Ph.D,5,12.985,77.5533,560010,Food delivery apps,Web browser,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,No,Worst behavior by customer care. They process refund quite late,1,0.7828830712020429,High Risk,CUST-0142,Budi Ramadhani,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
20,Female,Single,Student,No Income,Graduate,2,12.9337,77.59,560011,Food delivery apps,Web browser,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Ice cream / Cool drinks,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Important,Moderately Important,Important,Important,Moderately Important,Important,Yes,Best delivery people working hard for their family. respect them,0,0.1471949672537409,Low Risk,CUST-0143,Eka Ramadhani,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
21,Male,Single,Student,No Income,Graduate,2,12.9337,77.59,560011,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Yes,I have no issues with the food delivery service. They're good,0,0.1580608262864346,Low Risk,CUST-0144,Indra Ramadhani,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Male,Single,Employee,More than 50000,Post Graduate,3,12.9337,77.59,560011,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Important,Very Important,Important,Very Important,Important,Important,Important,Important,No,I can't blame the delivery people for late delivery. It lies in the logistics department of such startups.,1,0.8168921285820231,High Risk,CUST-0145,Joko Maulana,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
25,Male,Single,Employee,10001 to 25000,Graduate,4,13.0166,77.6804,560016,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Agree,Strongly disagree,Agree,Yes,Very Important,Very Important,Unimportant,Very Important,Very Important,Important,Very Important,Very Important,Yes,NIL,0,0.2330301772125678,Low Risk,CUST-0146,Rama Maulana,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Male,Single,Employee,25001 to 50000,Post Graduate,3,13.014,77.5658,560012,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,No,Anytime (Mon-Sun),More than 60 minutes,Agree,Strongly Agree,Agree,Agree,Agree,No,Important,Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,I'm satisfied with the service and swiggy is the best,0,0.1584217064585593,Low Risk,CUST-0147,Tono Maulana,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Female,Married,Employee,25001 to 50000,Graduate,3,13.014,77.5658,560012,Food delivery apps,Direct call,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Important,Important,Important,Important,Very Important,Important,Important,Yes,I love food delivery service. They are amazing,0,0.2567146787212915,Low Risk,CUST-0148,Maya Pertiwi,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
27,Male,Single,Employee,More than 50000,Ph.D,4,13.0503,77.5529,560013,Food delivery apps,Walk-in,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Maybe,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,No,"I require faster delivery. Nowadays due to covid, the delivery service is slow",1,0.5449060121376507,Medium Risk,CUST-0149,Zaki Pertiwi,Time Risk,Promo makan siang cepat dan reminder jam makan,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
27,Female,Single,Student,No Income,Ph.D,5,13.0503,77.5529,560013,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),15 minutes,Disagree,Strongly Agree,Agree,Agree,Neutral,Yes,Important,Important,Important,Important,Slightly Important,Moderately Important,Important,Important,No,A delivery person abused me for marking the location wrong. I can understand his tedious work. But abusing with such vulgar words is not tolerable,1,0.818105160658612,High Risk,CUST-0150,Putri Pertiwi,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
24,Female,Single,Student,No Income,Post Graduate,5,12.9883,77.5987,560051,Food delivery apps,Walk-in,Breakfast,Dinner,Veg foods (Breakfast / Lunch / Dinner),Sweets,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Maybe,Anytime (Mon-Sun),45 minutes,Strongly Agree,Neutral,Disagree,Neutral,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil,0,0.2240011237365035,Low Risk,CUST-0151,Sari Nugroho,Promo Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Male,Married,Self Employeed,More than 50000,School,2,13.0626,77.5284,560015,Food delivery apps,Direct call,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Neutral,Disagree,Disagree,Disagree,Yes,Important,Very Important,Important,Very Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Yes,Certainly a wonderful delivery service,0,0.1798263527903681,Low Risk,CUST-0152,Rafi Nugroho,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
20,Male,Single,Student,No Income,Graduate,2,13.0626,77.5284,560015,Food delivery apps,Direct call,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Important,Very Important,Important,Important,Moderately Important,Important,Important,Important,No,There are not much restaurant choices,1,0.8382840979251129,High Risk,CUST-0153,Agus Nugroho,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
22,Male,Single,Student,No Income,Post Graduate,1,13.0626,77.5284,560015,Food delivery apps,Walk-in,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Anytime (Mon-Sun),More than 60 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Maybe,Slightly Important,Slightly Important,Moderately Important,Slightly Important,Unimportant,Slightly Important,Unimportant,Slightly Important,Yes,No problem with food delivery startups,0,0.1540328476860914,Low Risk,CUST-0154,Dimas Wibowo,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
26,Female,Married,Student,Below Rs.10000,Ph.D,3,13.0166,77.6804,560016,Food delivery apps,Web browser,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Sweets,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Agree,Agree,Yes,Important,Very Important,Important,Important,Moderately Important,Important,Moderately Important,Important,Yes,NIL,0,0.2284138371578146,Low Risk,CUST-0155,Nisa Wibowo,General Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
27,Male,Prefer not to say,Employee,25001 to 50000,Post Graduate,1,13.0166,77.6804,560016,Food delivery apps,Walk-in,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,No,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Yes,NIL,0,0.2048457703303687,Low Risk,CUST-0156,Hendra Wibowo,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Female,Single,Student,No Income,Post Graduate,3,12.9551,77.6593,560017,Food delivery apps,Web browser,Breakfast,Snacks,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Disagree,Neutral,Neutral,Neutral,Maybe,Important,Moderately Important,Moderately Important,Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,"Best service, Crazy drivers !",0,0.1193880305633026,Low Risk,CUST-0157,Ayu Hidayat,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
24,Male,Single,Employee,Below Rs.10000,Graduate,2,12.9551,77.6593,560017,Food delivery apps,Direct call,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Important,Very Important,Important,Important,Important,Important,Important,Important,Yes,I have no problem with delivery service. BEST service !,0,0.120618523053937,Low Risk,CUST-0158,Yoga Hidayat,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
23,Female,Single,Employee,10001 to 25000,Graduate,6,12.9551,77.6593,560017,Food delivery apps,Direct call,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Yes,Weekend (Sat & Sun),45 minutes,Neutral,Disagree,Disagree,Strongly disagree,Agree,Yes,Important,Very Important,Important,Moderately Important,Important,Important,Very Important,Important,Yes,I have good experience with swiggy. No issues,0,0.1675803264605592,Low Risk,CUST-0159,Fitri Hidayat,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
22,Male,Single,Student,No Income,Graduate,2,12.957,77.5637,560018,Food delivery apps,Direct call,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Neutral,Neutral,Agree,Yes,Important,Important,Important,Important,Important,Very Important,Very Important,Important,No,They really need to delivery fast,1,0.7753645655285201,High Risk,CUST-0160,Doni Putra,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
26,Male,Married,Self Employeed,More than 50000,Post Graduate,3,12.957,77.5637,560018,Food delivery apps,Walk-in,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Yes,Weekdays (Mon-Fri),60 minutes,Agree,Agree,Strongly Agree,Agree,Strongly Agree,No,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Moderately Important,Important,Very Important,No,Not happy with the food quality when it is delivered,1,0.7426660745335643,High Risk,CUST-0161,Andi Putra,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
26,Male,Single,Employee,Below Rs.10000,Post Graduate,1,12.957,77.5637,560018,Food delivery apps,Web browser,Dinner,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Agree,Neutral,Neutral,Yes,Important,Very Important,Important,Very Important,Slightly Important,Moderately Important,Moderately Important,Important,Yes,"Tracking system needs to be improved, sometimes the delivery guy is still and doesn't show his movements",0,0.2399377112390629,Low Risk,CUST-0162,Budi Putra,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
25,Female,Married,Self Employeed,25001 to 50000,Post Graduate,3,12.957,77.5637,560018,Food delivery apps,Web browser,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Yes,Anytime (Mon-Sun),30 minutes,Agree,Agree,Neutral,Agree,Agree,Yes,Important,Important,Very Important,Important,Moderately Important,Important,Important,Moderately Important,No,"If delivery gets slow, I tend to give poor ratings on delivery",1,0.6278796692001971,Medium Risk,CUST-0163,Eka Salsabila,Convenience Risk,Promo personal dan rekomendasi restoran sesuai preferensi,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
29,Female,Married,Employee,More than 50000,Graduate,3,12.957,77.5637,560018,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly disagree,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Strongly Agree,Agree,Neutral,Agree,Yes,Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Important,Moderately Important,No,I want both delivery to be quick as well as food quality to be good,1,0.6399475743587962,Medium Risk,CUST-0164,Gita Salsabila,Time Risk,Promo makan siang cepat dan reminder jam makan,"Email, in-app, push notification","Repeat order, frequency, campaign conversion"
23,Male,Single,Student,Below Rs.10000,Graduate,3,12.8652,77.524,560109,Direct call,Walk-in,Dinner,Dinner,Veg foods (Breakfast / Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Neutral,Disagree,Agree,Maybe,Important,Moderately Important,Important,Moderately Important,Very Important,Very Important,Important,Important,Yes,Paid but never received it. No fresh and over paid compared to buying it directly,0,0.3774141256570537,Low Risk,CUST-0165,Joko Salsabila,Time Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
22,Female,Single,Employee,25001 to 50000,Graduate,4,12.9698,77.75,560066,Food delivery apps,Direct call,Lunch,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Maybe,Weekend (Sat & Sun),45 minutes,Strongly Agree,Agree,Agree,Strongly disagree,Strongly disagree,Yes,Slightly Important,Very Important,Unimportant,Important,Very Important,Important,Very Important,Moderately Important,Yes,NIL,0,0.223168829894015,Low Risk,CUST-0166,Kartika Firmansyah,Food Quality Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
22,Male,Single,Student,No Income,Graduate,2,12.9889,77.5741,560020,Food delivery apps,Walk-in,Breakfast,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Yes,Anytime (Mon-Sun),15 minutes,Agree,Neutral,Agree,Agree,Agree,Yes,Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,No,NIL,1,0.79355324764784,High Risk,CUST-0167,Tono Firmansyah,Time Risk,Fast delivery voucher dan rekomendasi restoran terdekat,"Push notification, WhatsApp, in-app","Reorder rate, voucher redemption, penurunan churn risk"
32,Female,Married,House wife,No Income,School,5,12.9889,77.5741,560020,Food delivery apps,Direct call,Snacks,Dinner,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Maybe,Weekend (Sat & Sun),60 minutes,Agree,Disagree,Neutral,Agree,Neutral,Yes,Important,Moderately Important,Moderately Important,Very Important,Important,Moderately Important,Moderately Important,Important,Yes,All good with the service.,0,0.1848451893727791,Low Risk,CUST-0168,Maya Firmansyah,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
28,Male,Married,Employee,More than 50000,Post Graduate,1,12.9925,77.5633,560021,Food delivery apps,Walk-in,Breakfast,Lunch,Non Veg foods (Lunch / Dinner),Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes,Very Important,Very Important,Moderately Important,Important,Important,Slightly Important,Important,Slightly Important,Yes,"I love zomato's service 
-from a premium member",0,0.2309000348539668,Low Risk,CUST-0169,Zaki Ananda,Service Risk,"Referral reward, membership tier, dan reward review positif","In-app, email, referral link","Referral rate, retention rate, review rate"
